,sentences,WS
105,台北都是提民調也真好笑，餵什麼屎柯文哲醫師上班一天KPI真的，8年前就是因為換人推推北市讓藍綠上跟本爽死垃圾藍綠蟑螂網軍死全家台北大秘寶：情勒就下去啦來看蟑螂噓噓滿意度最低,"['台北', '都', '是', '提', '民調', '也', '真', '好笑', '，', '餵', '什麼', '屎', '柯文哲', '醫師', '上班', '一', '天', 'KPI', '真的', '，', '8', '年', '前', '就是', '因為', '換人', '推推', '北市', '讓', '藍綠', '上', '跟', '本', '爽死', '垃圾', '藍', '綠', '蟑螂', '網', '軍死', '全家', '台北', '大秘寶', '：', '情勒', '就', '下去', '啦', '來', '看', '蟑螂', '噓噓', '滿意度', '最', '低']"
106,你居然用我的咒語對滿腦子只想舔共花錢買台灣的藥跟花錢買台捐過去，高價賣？上海封城你去找耶穌啦,"['你', '居然', '用', '我的', '咒語', '對', '滿', '腦子', '只', '想', '舔共', '花錢', '買', '台灣', '的', '藥', '跟', '花錢', '買', '台', '捐過去', '，', '高價', '賣', '？', '上海', '封', '城', '你', '去', '找', '耶穌', '啦']"
107,台大椰林推bs2,"['台大', '椰林', '推', 'bs2']"
108,還再嫌不夠操喔,"['還', '再', '嫌', '不', '夠', '操', '喔']"
109,33就穩了,"['33', '就', '穩', '了']"
110,行政院長看起來新竹有大秘寶，不想東輯事廠都60萬交保了,"['行政院長', '看起來', '新竹', '有', '大秘寶', '，', '不', '想', '東輯事廠', '都', '60萬', '交保', '了']"
111,搞不廢物，笑你不敢啦。本來就要告,"['搞不廢物', '，', '笑', '你', '不', '敢', '啦', '。', '本來', '就', '要', '告']"
112,每次都正面上D反正皇帝2年後必定駕崩，EE不愛,"['每', '次', '都', '正面', '上', 'D', '反正', '皇帝', '2', '年', '後', '必定', '駕崩', '，', 'EE', '不', '愛']"
113,好可憐根本被害妄想症希望她不會再選上了民進黨整天搞批鬥該去看醫生了到底誰在投苗博雅…碰瓷==？原來是紅心共匪阿苗好了啦阿苗,"['好', '可憐', '根本', '被', '害', '妄想症', '希望', '她', '不會', '再', '選上', '了', '民進黨', '整', '天', '搞', '批鬥', '該', '去', '看醫生', '了', '到底', '誰', '在', '投苗', '博雅', '…', '碰', '瓷', '==', '？', '原來', '是', '紅心', '共匪', '阿苗', '好了', '啦', '阿苗']"
114,畜看老柯這麼老了還寧願幹盡民進黨這幾年有監督的預算好奇當年KMT被沒收的黨綠色太子黨去海外爽十代+200%是那招，賺爛了不過蓋醫院的話,"['畜看', '老柯', '這麼', '老', '了', '還', '寧願', '幹盡', '民進黨', '這', '幾', '年', '有', '監督', '的', '預算', '好奇', '當年', 'KMT', '被', '沒收', '的', '黨綠色', '太子黨', '去', '海外', '爽', '十代', '+', '200%', '是', '那', '招', '，', '賺爛', '了', '不過', '蓋', '醫院', '的話']"
115,噓,['噓']
116,不扁神思路清晰,"['不', '扁神', '思路', '清晰']"
117,好歹讓我提我媽媽的確不會說5408綠畜狗官毫無素質嘻嘻,"['好歹', '讓', '我', '提', '我', '媽媽', '的確', '不會', '說', '5408', '綠畜狗官', '毫無', '素質', '嘻嘻']"
118,然後等別馬囧,"['然後', '等', '別', '馬囧']"
119,就一些輪班星人以為錢多就有破麻總統幫忙炒房，房蟲矽谷就是這樣五峰炒到40再叫我政府炒房最大黨,"['就', '一些', '輪班星人', '以為', '錢', '多', '就', '有', '破麻', '總統', '幫忙', '炒房', '，', '房蟲', '矽谷', '就', '是', '這樣', '五峰', '炒到', '40', '再', '叫', '我', '政府', '炒房', '最', '大', '黨']"
120,結果法扶天天爆滿整跟9歲女童性交都能判緩刑律師難考?你可以用檢覈啊因為玩文字遊戲很厲害考不上吧,"['結果', '法扶', '天天', '爆滿', '整', '跟', '9', '歲', '女童', '性交', '都', '能', '判緩', '刑', '律師', '難', '考', '?', '你', '可以', '用', '檢覈', '啊', '因為', '玩', '文字', '遊戲', '很', '厲害', '考', '不', '上', '吧']"
121,九二共你以為這樣不算政問嗎^_8掌吸,"['九二', '共', '你', '以為', '這樣', '不', '算', '政問', '嗎', '^_8', '掌', '吸']"
122,誰管你窮人,"['誰', '管', '你', '窮人']"
123,最慢下周五10月是不是選完了？資本利得、閉鎖期、第二房民進黨不下台,"['最', '慢', '下', '周', '五10月', '是', '不是', '選完', '了', '？', '資本', '利得', '、', '閉鎖期', '、', '第二', '房', '民進黨', '不', '下台']"
124,人家開繼續抱著這種心態,"['人家', '開', '繼續', '抱', '著', '這', '種', '心態']"
125,滑坡要小有你有屁關係綠共講別人威權知道為啥台中人要踢掉了吧維護威權？你要不要叫DP還要想飛彈飛過上空都不講到底有沒有在選舉啊厲害了,"['滑坡', '要', '小有', '你', '有', '屁', '關係', '綠共', '講', '別人', '威權', '知道', '為', '啥', '台中人', '要', '踢掉', '了', '吧', '維護', '威權', '？', '你', '要不要', '叫', 'DP', '還要', '想', '飛彈', '飛過', '上空', '都', '不', '講', '到底', '有沒有', '在', '選舉', '啊', '厲害', '了']"
126,是誰聽支那鳥,"['是', '誰', '聽', '支那鳥']"
127,只蔣介石殺了1021萬人，那也要他們夠團結夠聰明,"['只', '蔣介石', '殺', '了', '1021萬', '人', '，', '那', '也', '要', '他們', '夠', '團結', '夠', '聰明']"
128,推,['推']
129,高喬王的邪不勝正果然很中肯給我把學店仔跟大麻爹抓去邪不勝正讚啦！終於有一縣市不是藍太好啦～～～讚喔,"['高喬王', '的', '邪', '不勝', '正', '果然', '很', '中肯', '給', '我', '把', '學店仔', '跟', '大麻爹', '抓去', '邪', '不勝', '正讚', '啦', '！', '終於', '有', '一', '縣市', '不是', '藍', '太好', '啦', '～～～', '讚', '喔']"
130,法20f那個又是熱心民眾了名言：藍綠都是垃圾這是塔綠斑最後拼業績的時19說最快，證據在哪？笑想早日給市長一個清白吧60w>>12e+16e檢察官可以夜間訊問DPP的人本來就不能用,"['法', '20', 'f', '那', '個', '又', '是', '熱心', '民眾', '了', '名言', '：', '藍綠', '都', '是', '垃圾', '這', '是', '塔綠斑', '最後', '拼', '業績', '的', '時', '19', '說', '最', '快', '，', '證據', '在', '哪', '？', '笑想', '早日', '給', '市長', '一', '個', '清白', '吧', '60', 'w>>12e+16e', '檢察官', '可以', '夜間', '訊問', 'DPP', '的', '人', '本來', '就', '不能', '用']"
131,=那學生他爸如果深藍，就真史書華付裁判費與律師費給請律師就笨了,"['=', '那', '學生', '他', '爸', '如果', '深藍', '，', '就', '真', '史書華', '付', '裁判費', '與', '律師費', '給', '請', '律師', '就', '笨', '了']"
132,繼續敗票嘿所以眼紅了？我是不信,"['繼續', '敗票', '嘿', '所以', '眼紅', '了', '？', '我是', '不', '信']"
133,賺方便炒地皮,"['賺', '方便', '炒地皮']"
134,綠能這麼會講別人自己這他的工作吧嘻嘻欸阿苗不是有七個助理很能應該去看精神科準備病摘了Ptt帳號-14%公務員跟普通鄉民比上抓出來啊哈哈哈哈公務員被監督合情公務人員？苗博雅別裝死啊，快抓出來這可能就是他的工作內容，bryant780417綠能,"['綠', '能', '這麼', '會', '講', '別人', '自己', '這', '他', '的', '工作', '吧', '嘻嘻', '欸', '阿苗', '不是', '有', '七', '個', '助理', '很', '能', '應該', '去', '看', '精神科', '準備', '病', '摘', '了', 'Ptt', '帳號', '-', '14%', '公務員', '跟', '普通', '鄉民', '比', '上', '抓出來', '啊', '哈哈', '哈哈', '公務員', '被', '監督', '合情', '公務人員', '？', '苗博雅', '別', '裝死', '啊', '，', '快', '抓出來', '這', '可能', '就', '是', '他', '的', '工作', '內容', '，', 'bryant', '780417', '綠', '能']"
135,柯屁操縱媒體哇靠是真笑欸,"['柯屁', '操縱', '媒體', '哇靠', '是', '真', '笑', '欸']"
136,好爽要他人幫忙,"['好', '爽', '要', '他人', '幫忙']"
137,只能本名是,"['只', '能', '本名', '是']"
138,英系網農農不靠黨也能選贏,"['英系', '網', '農農', '不', '靠', '黨', '也', '能', '選贏']"
139,來互相傷害啊伊朗：台灣也可以獨立喔台灣被拿來當棍子,"['來', '互相', '傷害', '啊', '伊朗', '：', '台灣', '也', '可以', '獨立', '喔', '台灣', '被', '拿來', '當', '棍子']"
140,懂?她能你不能,"['懂', '?', '她', '能', '你', '不能']"
141,被關,"['被', '關']"
142,幾百個建案幾市區房價跟台中差不多早就飛到不知道哪了對啦,"['幾百', '個', '建案', '幾', '市區', '房價', '跟', '台中', '差不多', '早', '就', '飛到', '不知道', '哪', '了', '對', '啦']"
143,最好暖自由怎麼報這個？迴力鏢ㄎㄎ,"['最好', '暖', '自由', '怎麼', '報', '這', '個', '？', '迴力', '鏢', 'ㄎㄎ']"
144,還能開節目,"['還', '能', '開', '節目']"
145,希望更多交流,"['希望', '更多', '交流']"
146,96%還不是在那叫什麼，要比大聲黨不綠能,"['96%', '還不是', '在', '那', '叫', '什麼', '，', '要', '比', '大聲', '黨', '不', '綠', '能']"
147,還怕人知道,"['還', '怕', '人', '知道']"
148,打爆不男不哈哈哈,"['打爆', '不', '男', '不', '哈', '哈', '哈']"
149,盡顯蘇光頭跟白賊吳敦義誰比較綠能你不能在那叫什麼！！藐視國會民進黨的民主素養笑死人原始人水準好大,"['盡', '顯', '蘇光頭', '跟', '白賊', '吳敦義', '誰', '比較', '綠能', '你', '不能', '在', '那', '叫', '什麼', '！', '！', '藐視', '國會', '民進黨', '的', '民主', '素養', '笑死', '人', '原始人', '水準', '好', '大']"
150,防衛台灣金孫還能等嗎...？挖喔,"['防衛', '台灣', '金孫', '還', '能', '等', '嗎', '.', '.', '.', '？', '挖', '喔']"
151,民進黨放你也是認為小看討厭民進黨？半斤八兩自介笑死嘔嘔嘔嘔嘔房蟲一個，你來台北，只會票選全台最噁心的人的話我DPP史上最爛人選還敢笑自介不害羞看DPP推馬桶中，就知道幹話真多張口就是滿嘴謊言也不簡單擋疫苗仔就是人選爛啦,"['民進黨', '放', '你', '也', '是', '認為', '小看', '討厭', '民進黨', '？', '半斤八兩', '自介笑', '死嘔', '嘔嘔嘔', '嘔房蟲', '一', '個', '，', '你', '來', '台北', '，', '只', '會', '票選', '全', '台', '最', '噁心', '的', '人', '的話', '我', 'DPP', '史', '上', '最', '爛', '人選', '還', '敢', '笑', '自介', '不', '害羞', '看', 'DPP', '推', '馬桶', '中', '，', '就', '知道', '幹話', '真', '多', '張', '口', '就', '是', '滿', '嘴', '謊言', '也', '不', '簡單', '擋疫', '苗仔', '就', '是', '人選', '爛', '啦']"
152,馬哪裡不好了我是看開了，反正沒有下一33在師傅旁邊跟了這麼久阿扁是靠分裂上的，台北人只會投一種顏色的人真可悲33就是個騎牆派新一代就是靠時間影響身邊蔣萬安真的有馬英九第二的台北老人看臉選女婿,"['馬', '哪裡', '不', '好', '了', '我是', '看開', '了', '，', '反正', '沒有', '下', '一33', '在', '師傅', '旁邊', '跟', '了', '這麼', '久', '阿扁', '是', '靠', '分裂', '上', '的', '，', '台北人', '只', '會', '投', '一', '種', '顏色', '的', '人', '真', '可悲', '33', '就', '是', '個', '騎牆派', '新一代', '就', '是', '靠', '時間', '影響', '身邊', '蔣萬安', '真的', '有', '馬英九', '第二', '的', '台北', '老人', '看', '臉', '選', '女婿']"
153,你還是回去唱歌吧證據拿出來,"['你', '還是', '回去', '唱歌', '吧', '證據', '拿出來']"
154,才不是要幫你們說話呢你現在就在台灣最大詐騙集照這邏輯,"['才', '不是', '要', '幫', '你們', '說話', '呢', '你', '現在', '就', '在', '台灣', '最', '大', '詐騙', '集照', '這', '邏輯']"
155,告死他，讓他去監獄通屁眼整天造謠潑糞，幹！綠共死支持提告,"['告死', '他', '，', '讓', '他', '去', '監獄', '通', '屁眼', '整', '天', '造謠', '潑糞', '，', '幹', '！', '綠共', '死', '支持', '提告']"
156,科學用舉手表決.那你公開保護數據，幹騙神仔的話,"['科學', '用', '舉手', '表決', '.', '那', '你', '公開', '保護', '數據', '，', '幹騙', '神仔', '的話']"
157,?罪犯言論自由?,"['?', '罪犯', '言論', '自由', '?']"
158,別橋頭新市鎮那個鳥地方賣到怎麼可能高雄沒有輸炒一炒就暖了台灣真的活該以前南部雖然薪水比較低,"['別', '橋頭', '新', '市鎮', '那', '個', '鳥', '地方', '賣到', '怎麼', '可能', '高雄', '沒有', '輸炒', '一', '炒', '就', '暖', '了', '台灣', '真的', '活該', '以前', '南部', '雖然', '薪水', '比較', '低']"
159,心檢討還不下台,"['心', '檢討', '還', '不', '下台']"
160,說實話整組換掉吧阿扁根本海電空心菜～下台拉,"['說', '實話', '整', '組', '換掉', '吧', '阿扁', '根本', '海電', '空心菜', '～', '下台', '拉']"
161,侯友宜至少行政院長競爭激烈好像很激同額競選阿16樓笑死NNB能一起跟龍哥去中央去年確診人數，新北塔綠斑捫心自問一下ㄏdpp沒有大咖想出來選不暖市放大格,"['侯友宜', '至少', '行政院長', '競爭', '激烈', '好像', '很', '激', '同額', '競選', '阿16樓', '笑死', 'NNB', '能', '一起', '跟', '龍哥', '去', '中央', '去年', '確診', '人數', '，', '新', '北塔', '綠斑', '捫心自問', '一下', 'ㄏdpp', '沒有', '大', '咖', '想出來', '選', '不', '暖', '市', '放大', '格']"
162,89守法開車還要遭發大財的方法都寫在刑法裡4,"['89', '守法', '開車', '還要', '遭', '發', '大', '財', '的', '方法', '都', '寫', '在', '刑法', '裡', '4']"
163,其中一個是垃雙標党日常只要能吵贏,"['其中', '一', '個', '是', '垃雙', '標党', '日常', '只要', '能', '吵贏']"
164,你的問題比較大黨的行政院長同意專家會議指揮官已經高票當選台北市認知問題，國家就是黨，指是你的問題,"['你的', '問題', '比較', '大', '黨', '的', '行政院長', '同意', '專家', '會議', '指揮官', '已經', '高票', '當選', '台北市', '認知', '問題', '，', '國家', '就', '是', '黨', '，', '指', '是', '你的', '問題']"
165,你要二分那我親中好了啦，跟中國做生意的政不是該問你想要紅色的共產中國鵬：那就是全面下架DPP沒其親中是民進黨吧選舉只剩這一招了嗎,"['你', '要', '二分', '那', '我', '親', '中', '好了', '啦', '，', '跟', '中國', '做生意', '的', '政', '不是', '該', '問', '你', '想要', '紅色', '的', '共產', '中國鵬', '：', '那', '就', '是', '全面', '下架', 'DPP', '沒', '其', '親', '中', '是', '民進黨', '吧', '選舉', '只', '剩', '這', '一', '招', '了', '嗎']"
166,你他民進黨一堆官員真的太傲慢E法行政綠色豬隊友太多.....薛>司法院dpp現在的官員真的都在選後跟光頭一起下台，舔好日本韓國可以，我們台灣不姓薛的繼續講，期待你繼續呃...我猜應該是從UP好險有部長，穩了塔綠斑真的都剩講幹話不臉大法官自己人,"['你', '他', '民進黨', '一', '堆', '官員', '真的', '太', '傲慢', 'E', '法', '行政', '綠色', '豬', '隊友', '太多', '.', '.', '.', '.', '.', '薛', '>', '司法院', 'dpp', '現在', '的', '官員', '真的', '都', '在', '選後', '跟', '光頭', '一起', '下台', '，', '舔好', '日本', '韓國', '可以', '，', '我們', '台灣', '不', '姓', '薛', '的', '繼續', '講', '，', '期待', '你', '繼續', '呃', '.', '.', '.', '我', '猜', '應該', '是', '從', 'UP', '好險', '有', '部長', '，', '穩', '了', '塔綠斑', '真的', '都', '剩', '講', '幹話', '不', '臉', '大法官', '自己人']"
